,match.homeTeam.name,match.awayTeam.name,venue.name,round.year,round.roundNumber_x,match.matchId,train_data,pred_home_result,pred_home_prob,enter_tips,round.roundNumber_y,homeTeamScore.matchScore.totalScore,awayTeamScore.matchScore.totalScore,result,score_1,score_2,score_3
69,GWS Giants,West Coast Eagles,GIANTS Stadium,2022,10,6,0,1,0.573,pick GWS Giants with p=0.573,10,138,86,1,0.19660704409481766,0.19660704409481766,0.19660704409481766
70,Hawthorn,Brisbane Lions,University of Tasmania Stadium,2022,10,7,0,1,1.0,pick Hawthorn with p=1.0,10,117,112,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
71,Fremantle,Collingwood,Optus Stadium,2022,10,8,0,1,1.0,pick Fremantle with p=1.0,10,44,80,0,-0.6438561897747248,-0.6438561897747248,-1.0
72,Sydney Swans,Richmond,SCG,2022,11,0,0,1,0.588,pick Sydney Swans with p=0.588,11,106,100,1,0.23388806017427732,0.23388806017427732,0.23388806017427732
73,Brisbane Lions,GWS Giants,Gabba,2022,11,1,0,1,1.0,pick Brisbane Lions with p=1.0,11,110,96,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
74,Geelong Cats,Adelaide Crows,GMHBA Stadium,2022,11,2,0,1,0.94,pick Geelong Cats with p=0.94,11,97,55,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
75,Melbourne,Fremantle,MCG,2022,11,3,0,1,1.0,pick Melbourne with p=1.0,11,56,94,0,-0.6438561897747248,-0.6438561897747248,-1.0
76,West Coast Eagles,Western Bulldogs,Optus Stadium,2022,11,4,0,0,0.023,pick Western Bulldogs with p=0.977,11,60,161,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
77,Gold Coast Suns,Hawthorn,TIO Stadium,2022,11,5,0,0,0.178,pick Hawthorn with p=0.8220000000000001,11,121,54,1,0.4436066514756146,-0.6438561897747244,-1.0
78,St Kilda,North Melbourne,Marvel Stadium,2022,11,6,0,1,1.0,pick St Kilda with p=1.0,11,103,50,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
79,Collingwood,Carlton,MCG,2022,11,7,0,1,1.0,pick Collingwood with p=1.0,11,79,75,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
80,Port Adelaide,Essendon,Adelaide Oval,2022,11,8,0,1,1.0,pick Port Adelaide with p=1.0,11,66,50,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
81,Western Bulldogs,Geelong Cats,Marvel Stadium,2022,12,0,0,1,1.0,pick Western Bulldogs with p=1.0,12,70,83,0,-0.6438561897747248,-0.6438561897747248,-1.0
82,Adelaide Crows,West Coast Eagles,Adelaide Oval,2022,12,1,0,0,0.298,pick West Coast Eagles with p=0.702,12,88,57,1,0.4436066514756146,-0.6438561897747244,-0.7466157641999254
83,Gold Coast Suns,North Melbourne,TIO Stadium,2022,12,2,0,0,0.447,pick North Melbourne with p=0.5529999999999999,12,109,47,1,0.14535138557261984,-0.16165326347876907,-0.16165326347876907
84,Melbourne,Sydney Swans,MCG,2022,12,3,0,1,1.0,pick Melbourne with p=1.0,12,61,73,0,-0.6438561897747248,-0.6438561897747248,-1.0
85,Hawthorn,Collingwood,MCG,2022,12,4,0,1,1.0,pick Hawthorn with p=1.0,12,68,72,0,-0.6438561897747248,-0.6438561897747248,-1.0
86,Fremantle,Brisbane Lions,Optus Stadium,2022,12,5,0,1,1.0,pick Fremantle with p=1.0,12,99,85,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
87,Richmond,Port Adelaide,MCG,2022,13,0,0,0,0.0,pick Port Adelaide with p=1.0,13,77,65,1,0.4436066514756146,-0.6438561897747244,-1.0
88,Essendon,Carlton,MCG,2022,13,1,0,0,0.0,pick Carlton with p=1.0,13,54,80,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
89,Fremantle,Hawthorn,Optus Stadium,2022,13,2,0,0,0.0,pick Hawthorn with p=1.0,13,95,82,1,0.4436066514756146,-0.6438561897747244,-1.0
90,Brisbane Lions,St Kilda,Gabba,2022,13,3,0,0,0.0,pick St Kilda with p=1.0,13,78,57,1,0.4436066514756146,-0.6438561897747244,-1.0
91,North Melbourne,GWS Giants,Marvel Stadium,2022,13,4,0,0,0.0,pick GWS Giants with p=1.0,13,53,102,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
92,Collingwood,Melbourne,MCG,2022,13,5,0,0,0.007,pick Melbourne with p=0.993,13,82,56,1,0.4436066514756146,-0.6438561897747244,-1.0
