"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Richmond Vs Carlton",2020-03-19 08:40:00,"CONCLUDED","CD_M20200140101","CD_V40","2020-03-19T08:40:00","CD_T120","CD_T30","CD_R202001401","2020-03-19T19:40:00","RICH V CARL","#AFLTigersBlues","Richmond",NA,"CD_T120","RICH","Tigers","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140101",NA,NA,"2020-03-19T11:07:13.308+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",1,99,105,16,9,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",1,0,81,12,9,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",30,"RAIN",16,1,5,2,0,1,0,12,4,3,1,0,1,0
"Western Bulldogs Vs Collingwood",2020-03-20 08:50:00,"CONCLUDED","CD_M20200140102","CD_V190","2020-03-20T08:50:00","CD_T140","CD_T40","CD_R202001401","2020-03-20T19:50:00","WB V COLL","#AFLDogsPies","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140102",NA,NA,"2020-03-20T11:13:13.437+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",0,0,34,5,4,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",0,89,86,13,8,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",22,"RAIN",5,3,1,0,0,0,0,13,5,2,1,0,0,0
"Essendon Vs Fremantle",2020-03-21 03:10:00,"CONCLUDED","CD_M20200140103","CD_V190","2020-03-21T03:10:00","CD_T50","CD_T60","CD_R202001401","2020-03-21T14:10:00","ESS V FRE","#AFLDonsFreo","Essendon",NA,"CD_T50","ESS","Bombers","Fremantle",NA,"CD_T60","FRE","Freo","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140103",NA,NA,"2020-03-21T05:37:00.495+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",2,85,63,9,9,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",1,0,57,8,9,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly cloudy",19,"OVERCAST",9,3,3,0,1,2,0,8,4,4,0,0,1,0
"Adelaide Crows Vs Sydney Swans",2020-03-21 06:05:00,"CONCLUDED","CD_M20200140104","CD_V6","2020-03-21T06:05:00","CD_T10","CD_T160","CD_R202001401","2020-03-21T16:35:00","ADEL V SYD","#AFLCrowsSwans","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Sydney Swans",NA,"CD_T160","SYD","Swans","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140104",NA,NA,"2020-03-21T08:48:26.016+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",0,19,71,11,5,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",0,67,74,11,8,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",11,1,4,0,0,0,0,11,2,4,0,1,0,1
"GWS Giants Vs Geelong Cats",2020-03-21 08:40:00,"CONCLUDED","CD_M20200140105","CD_V43","2020-03-21T08:40:00","CD_T1010","CD_T70","CD_R202001401","2020-03-21T19:40:00","GWS V GEEL","#AFLGiantsCats","GWS Giants",NA,"CD_T1010","GWS","Giants","Geelong Cats",NA,"CD_T70","GEEL","Cats","Sydney","GIANTS Stadium","NSW","Australia/Sydney","CD_V43","GS",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140105",NA,NA,"2020-03-21T11:11:33.859+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",1,98,105,17,3,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",0,0,73,11,7,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",24,"RAIN",17,0,1,1,0,1,0,11,2,3,1,0,0,1
"Gold Coast Suns Vs Port Adelaide",2020-03-21 08:40:00,"CONCLUDED","CD_M20200140106","CD_V81","2020-03-21T08:40:00","CD_T1000","CD_T110","CD_R202001401","2020-03-21T18:40:00","GCFC V PORT","#AFLSunsPower","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Port Adelaide",NA,"CD_T110","PORT","Power","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140106",NA,NA,"2020-03-21T11:12:34.540+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",3,4,29,4,5,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",3,82,76,10,16,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",4,1,1,0,0,3,0,10,3,9,1,0,3,0
"North Melbourne Vs St Kilda",2020-03-22 02:05:00,"CONCLUDED","CD_M20200140107","CD_V190","2020-03-22T02:05:00","CD_T100","CD_T130","CD_R202001401","2020-03-22T13:05:00","NMFC V STK","#AFLNorthSaints","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","St Kilda",NA,"CD_T130","STK","Saints","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140107",NA,NA,"2020-03-22T04:56:42.202+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",1,11,56,8,8,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",1,76,54,7,12,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",18,"RAIN",8,0,5,2,0,1,0,7,2,6,2,0,1,1
"Hawthorn Vs Brisbane Lions",2020-03-22 04:35:00,"CONCLUDED","CD_M20200140108","CD_V40","2020-03-22T04:35:00","CD_T80","CD_T20","CD_R202001401","2020-03-22T15:35:00","HAW V BL","#AFLHawksLions","Hawthorn",NA,"CD_T80","HAW","Hawks","Brisbane Lions",NA,"CD_T20","BL","Lions","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140108",NA,NA,"2020-03-22T07:13:47.871+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",1,87,90,14,6,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",1,11,62,9,8,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",18,"RAIN",14,0,3,2,0,1,0,9,2,5,0,0,1,0
"West Coast Eagles Vs Melbourne",2020-03-22 07:40:00,"CONCLUDED","CD_M20200140109","CD_V2925","2020-03-22T07:40:00","CD_T150","CD_T90","CD_R202001401","2020-03-22T15:40:00","WCE V MELB","#AFLEaglesDees","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Melbourne",NA,"CD_T90","MELB","Demons","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 1","2020","CD_R202001401","Rd 1","CD_S2020014",1,"CONCLUDED","CD_M20200140109",NA,NA,"2020-03-22T10:00:11.569+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",1,75,78,12,6,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",1,2,51,7,9,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",12,2,2,0,1,1,0,7,5,2,1,0,1,0
"Collingwood Vs Richmond",2020-06-11 09:40:00,"CONCLUDED","CD_M20200140201","CD_V40","2020-06-11T09:40:00","CD_T40","CD_T120","CD_R202001402","2020-06-11T19:40:00","COLL V RICH","#AFLPiesTigers","Collingwood",NA,"CD_T40","COLL","Magpies","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2020","CD_R202001402","Rd 2","CD_S2020014",2,"CONCLUDED","CD_M20200140201",NA,NA,"2020-06-11T12:21:50.648+0000","1, 2, 3, 4, 44, 25, 20, 16, 7, 4, 3, 2, 2, 1, 2, 4, NA, NA, NA, NA",2,80,36,5,6,NA,"1, 2, 3, 4, 13, 10, 32, 26, 2, 1, 5, 4, 1, 4, 2, 2, NA, NA, NA, NA",4,0,36,5,6,NA,"1, 2, 3, 4, 1690, 1441, 1653, 1494, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Early fog Partly cloudy",15,"OVERCAST",5,1,2,0,1,2,0,5,1,1,0,0,4,0
