"id","providerId","utcStartTime","status","compSeason.id","compSeason.providerId","compSeason.name","compSeason.shortName","compSeason.currentRoundNumber","round.id","round.providerId","round.abbreviation","round.name","round.roundNumber","round.byes","home.team.id","home.team.providerId","home.team.name","home.team.abbreviation","home.team.nickname","home.team.teamType","home.team.club.id","home.team.club.providerId","home.team.club.name","home.team.club.abbreviation","home.team.club.nickname","home.score.goals","home.score.behinds","home.score.totalScore","home.score.superGoals","away.team.id","away.team.providerId","away.team.name","away.team.abbreviation","away.team.nickname","away.team.teamType","away.team.club.id","away.team.club.providerId","away.team.club.name","away.team.club.abbreviation","away.team.club.nickname","away.score.goals","away.score.behinds","away.score.totalScore","away.score.superGoals","venue.id","venue.providerId","venue.name","venue.abbreviation","venue.location","venue.state","venue.timezone","metadata.ticket_link","compSeason.year"
3819,"CD_M20220140202","2022-03-25T08:50:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",17,5,107,0,10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",10,17,77,0,9,"CD_V60","SCG","SCG","Sydney","NSW","Australia/Sydney","https://premier.ticketek.com.au/shows/Show.aspx?sh=SWA0222",2022
3821,"CD_M20220140203","2022-03-26T02:45:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",15,10,100,0,1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",8,10,58,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=COLLI0222",2022
3820,"CD_M20220140204","2022-03-26T05:35:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",10,15,75,0,2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",15,7,97,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C58877C0A2C",2022
3823,"CD_M20220140205","2022-03-26T08:40:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",7,14,56,0,9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",19,6,120,0,31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","https://premier.ticketek.com.au/shows/show.aspx?sh=PORTA0222",2022
3822,"CD_M20220140206","2022-03-26T09:00:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",10,9,69,0,17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",12,10,82,0,11,"CD_V81","Metricon Stadium","MS","Gold Coast","QLD","Australia/Brisbane","https://premier.ticketek.com.au/shows/show.aspx?sh=SUNS0122",2022
3824,"CD_M20220140207","2022-03-27T02:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",10,14,74,0,18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",8,11,59,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C58894B0A4F",2022
3826,"CD_M20220140208","2022-03-27T04:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",16,13,109,0,15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",10,13,73,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=RICHM0222",2022
3825,"CD_M20220140209","2022-03-27T07:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,589,"CD_R202201402","Rd 2","Round 2",2,"",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",8,7,55,0,11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",9,11,65,0,65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth","https://www.ticketmaster.com.au/afl",2022
3827,"CD_M20220140301","2022-03-31T08:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",9,17,71,0,13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",9,6,60,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C58857A09F6",2022
3828,"CD_M20220140302","2022-04-01T08:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",14,15,99,0,12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",10,10,70,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=MELBO0322",2022
3829,"CD_M20220140303","2022-04-01T09:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",15,6,96,0,7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",13,14,92,0,31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","https://premier.ticketek.com.au/shows/show.aspx?sh=ADELC0322",2022
3830,"CD_M20220140304","2022-04-02T05:35:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",12,11,83,0,4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",8,9,57,0,8,"CD_V43","GIANTS Stadium","GS","Sydney","NSW","Australia/Sydney","https://www.ticketmaster.com.au/afl",2022
3833,"CD_M20220140305","2022-04-02T08:25:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",13,13,91,0,10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",16,8,104,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=COLLI0322",2022
3831,"CD_M20220140306","2022-04-02T09:00:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",23,18,156,0,6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",7,6,48,0,22,"CD_V20","Gabba","G","Brisbane","QLD","Australia/Brisbane","https://www.ticketmaster.com.au/event/13005C47DFBBADE3?CAMEFROM=CFC_AU_AFL_WEB_FIXTURECAL",2022
3832,"CD_M20220140307","2022-04-03T03:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",11,8,74,0,9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",11,7,73,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=CARLT0322",2022
3834,"CD_M20220140308","2022-04-03T05:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",18,9,117,0,16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",13,6,84,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C58710708CA",2022
