"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Collingwood Vs Fremantle",2014-03-14 08:50:00,"CONCLUDED","CD_M20140140101","CD_V190","2014-03-14T08:50:00","CD_T40","CD_T60","CD_R201401401","2014-03-14T19:50:00","COLL V FRE","#AFLPiesFreo","Collingwood",NA,"CD_T40","COLL","Magpies","Fremantle",NA,"CD_T60","FRE","Freo","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140101",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",7,NA,46,5,16,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",2,NA,116,17,14,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny. Warm.",26,"ROOF_CLOSED",5,4,4,0,3,7,0,17,3,3,2,0,2,0
"GWS Giants Vs Sydney Swans",2014-03-15 05:40:00,"CONCLUDED","CD_M20140140102","CD_V43","2014-03-15T05:40:00","CD_T1010","CD_T160","CD_R201401401","2014-03-15T16:40:00","GWS V SYD","#AFLGiantsSwans","GWS Giants",NA,"CD_T1010","GWS","Giants","Sydney Swans",NA,"CD_T160","SYD","Swans","Sydney","GIANTS Stadium","NSW","Australia/Sydney","CD_V43","GS",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140102",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",2,NA,99,15,9,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",5,NA,67,9,13,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Scattered Clouds. Warm.",25,"MOSTLY_SUNNY",15,1,1,0,0,2,0,9,1,1,2,0,5,0
"Gold Coast Suns Vs Richmond",2014-03-15 08:40:00,"CONCLUDED","CD_M20140140103","CD_V81","2014-03-15T08:40:00","CD_T1000","CD_T120","CD_R201401401","2014-03-15T18:40:00","GCFC V RICH","#AFLSunsTigers","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Richmond",NA,"CD_T120","RICH","Tigers","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140103",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",2,NA,87,12,15,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",1,NA,69,10,9,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Passing Clouds. Cool. Humid.",24,"MOSTLY_CLEAR",12,7,7,0,1,2,0,10,3,3,0,1,1,0
"Carlton Vs Port Adelaide",2014-03-16 08:40:00,"CONCLUDED","CD_M20140140104","CD_V190","2014-03-16T08:40:00","CD_T30","CD_T110","CD_R201401401","2014-03-16T19:40:00","CARL V PORT","#AFLBluesPower","Carlton",NA,"CD_T30","CARL","Blues","Port Adelaide",NA,"CD_T110","PORT","Power","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140104",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",4,NA,87,12,15,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",2,NA,120,18,12,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny. Mild.",19,"ROOF_CLOSED",12,3,3,1,0,4,2,18,2,2,3,0,2,0
"Geelong Cats Vs Adelaide Crows",2014-03-20 08:10:00,"CONCLUDED","CD_M20140140105","CD_V30","2014-03-20T08:10:00","CD_T70","CD_T10","CD_R201401401","2014-03-20T19:10:00","GEEL V ADEL","#AFLCatsCrows","Geelong Cats",NA,"CD_T70","GEEL","Cats","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Geelong","GMHBA Stadium","VIC","Australia/Melbourne","CD_V30","GMHBA",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140105",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",2,23,119,18,11,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",2,0,81,12,9,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny.",30,"MOSTLY_SUNNY",18,3,2,0,2,2,2,12,3,3,0,1,2,0
"North Melbourne Vs Essendon",2014-03-21 08:50:00,"CONCLUDED","CD_M20140140106","CD_V190","2014-03-21T08:50:00","CD_T100","CD_T50","CD_R201401401","2014-03-21T19:50:00","NMFC V ESS","#AFLNorthDons","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Essendon",NA,"CD_T50","ESS","Bombers","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140106",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",3,0,60,9,6,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",1,66,99,15,9,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Clear. Cool.",16,"ROOF_CLOSED",9,0,2,1,0,3,0,15,6,2,0,0,1,0
"Hawthorn Vs Brisbane Lions",2014-03-22 05:40:00,"CONCLUDED","CD_M20140140107","CD_V200","2014-03-22T05:40:00","CD_T80","CD_T20","CD_R201401401","2014-03-22T16:40:00","HAW V BL","#AFLHawksLions","Hawthorn",NA,"CD_T80","HAW","Hawks","Brisbane Lions",NA,"CD_T20","BL","Lions","Launceston","University of Tasmania Stadium","TAS","Australia/Hobart","CD_V200","UTAS",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140107",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",3,97,139,21,13,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",3,0,91,13,13,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny. Cool.",17,"MOSTLY_SUNNY",21,5,5,0,0,3,0,13,5,3,0,1,3,1
"St Kilda Vs Melbourne",2014-03-22 08:40:00,"CONCLUDED","CD_M20140140108","CD_V190","2014-03-22T08:40:00","CD_T130","CD_T90","CD_R201401401","2014-03-22T19:40:00","STK V MELB","#AFLSaintsDees","St Kilda",NA,"CD_T130","STK","Saints","Melbourne",NA,"CD_T90","MELB","Demons","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140108",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",2,0,68,10,8,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",4,0,51,6,15,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Sunny. Cool.",17,"ROOF_CLOSED",10,0,4,1,1,2,0,6,3,6,1,1,4,0
"West Coast Eagles Vs Western Bulldogs",2014-03-23 08:40:00,"CONCLUDED","CD_M20140140109","CD_V70","2014-03-23T08:40:00","CD_T150","CD_T140","CD_R201401401","2014-03-23T16:40:00","WCE V WB","#AFLEaglesDogs","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 1","2014","CD_R201401401","Rd 1","CD_S2014014",1,"CONCLUDED","CD_M20140140109",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",1,108,134,21,8,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",0,0,69,11,3,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",33,"MOSTLY_CLEAR",21,2,3,0,1,1,1,11,1,2,0,0,0,0
"Richmond Vs Carlton",2014-03-27 08:45:00,"CONCLUDED","CD_M20140140201","CD_V40","2014-03-27T08:45:00","CD_T120","CD_T30","CD_R201401402","2014-03-27T19:45:00","RICH V CARL","#AFLTigersBlues","Richmond",NA,"CD_T120","RICH","Tigers","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2014","CD_R201401402","Rd 2","CD_S2014014",2,"CONCLUDED","CD_M20140140201",NA,NA,NA,"1, 2, 3, 4, 16, 4, 11, 15, 2, 0, 1, 2, 4, 4, 5, 3, NA, NA, NA, NA",4,0,98,14,14,NA,"1, 2, 3, 4, 15, 40, 39, 22, 2, 6, 6, 3, 3, 4, 3, 4, NA, NA, NA, NA",3,0,86,12,14,NA,"1, 2, 3, 4, 1675, 1731, 1749, 1745, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Scattered Clouds. Warm.",24,"MOSTLY_CLEAR",14,4,4,0,1,4,1,12,4,4,1,2,3,0
