"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Carlton Vs Richmond",2015-04-02 08:20:00,"CONCLUDED","CD_M20150140101","CD_V40","2015-04-02T08:20:00","CD_T30","CD_T120","CD_R201501401","2015-04-02T19:20:00","CARL V RICH","#AFLBluesTigers","Carlton",NA,"CD_T30","CARL","Blues","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140101",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",3,45,78,11,12,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",2,67,105,15,15,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",17,"OVERCAST",11,2,5,0,2,3,0,15,6,5,1,0,2,1
"Melbourne Vs Gold Coast Suns",2015-04-04 02:40:00,"CONCLUDED","CD_M20150140102","CD_V40","2015-04-04T02:40:00","CD_T90","CD_T1000","CD_R201501401","2015-04-04T13:40:00","MELB V GCFC","#AFLDeesSuns","Melbourne",NA,"CD_T90","MELB","Demons","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140102",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,117,115,17,13,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",3,3,89,13,11,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",24,"OVERCAST",17,4,6,0,1,1,1,13,2,5,1,0,3,0
"Sydney Swans Vs Essendon",2015-04-04 05:35:00,"CONCLUDED","CD_M20150140103","CD_V9","2015-04-04T05:35:00","CD_T160","CD_T50","CD_R201501401","2015-04-04T16:35:00","SYD V ESS","#AFLSwansDons","Sydney Swans",NA,"CD_T160","SYD","Swans","Essendon",NA,"CD_T50","ESS","Bombers","Sydney","Accor Stadium","NSW","Australia/Sydney","CD_V9","ASA",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140103",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",3,7,72,10,12,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",0,119,60,9,6,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Rain.",20,"RAIN",10,4,3,2,0,3,0,9,3,2,0,1,0,0
"Brisbane Lions Vs Collingwood",2015-04-04 08:20:00,"CONCLUDED","CD_M20150140104","CD_V20","2015-04-04T08:20:00","CD_T20","CD_T40","CD_R201501401","2015-04-04T18:20:00","BL V COLL","#AFLLionsPies","Brisbane Lions",NA,"CD_T20","BL","Lions","Collingwood",NA,"CD_T40","COLL","Magpies","Brisbane","Gabba","QLD","Australia/Brisbane","CD_V20","G",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140104",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",2,14,74,11,8,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",3,107,86,12,14,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Showers.",27,"RAIN",11,2,2,0,2,2,0,12,9,2,0,0,3,0
"Western Bulldogs Vs West Coast Eagles",2015-04-04 08:20:00,"CONCLUDED","CD_M20150140105","CD_V190","2015-04-04T08:20:00","CD_T140","CD_T150","CD_R201501401","2015-04-04T19:20:00","WB V WCE","#AFLDogsEagles","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140105",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",4,49,97,14,13,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",0,71,87,14,3,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",24,"OVERCAST",14,3,4,1,1,4,0,14,2,1,0,0,0,0
"St Kilda Vs GWS Giants",2015-04-05 03:10:00,"CONCLUDED","CD_M20150140106","CD_V190","2015-04-05T03:10:00","CD_T130","CD_T1010","CD_R201501401","2015-04-05T13:10:00","STK V GWS","#AFLSaintsGiants","St Kilda",NA,"CD_T130","STK","Saints","GWS Giants",NA,"CD_T1010","GWS","Giants","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140106",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",5,13,78,11,12,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",2,104,87,12,15,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",20,"OVERCAST",11,5,2,0,0,5,0,12,5,6,1,1,2,0
"Adelaide Crows Vs North Melbourne",2015-04-05 05:20:00,"CONCLUDED","CD_M20150140107","CD_V6","2015-04-05T05:20:00","CD_T10","CD_T100","CD_R201501401","2015-04-05T14:50:00","ADEL V NMFC","#AFLCrowsNorth","Adelaide Crows",NA,"CD_T10","ADEL","Crows","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140107",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",5,119,140,21,14,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",3,0,63,9,9,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Cloudy.",20,"OVERCAST",21,5,3,0,1,5,0,9,3,2,0,0,3,1
"Fremantle Vs Port Adelaide",2015-04-05 08:40:00,"CONCLUDED","CD_M20150140108","CD_V70","2015-04-05T08:40:00","CD_T60","CD_T110","CD_R201501401","2015-04-05T16:40:00","FRE V PORT","#AFLFreoPower","Fremantle",NA,"CD_T60","FRE","Freo","Port Adelaide",NA,"CD_T110","PORT","Power","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140108",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",3,46,75,11,9,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",2,68,68,10,8,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny.",30,"MOSTLY_SUNNY",11,2,3,1,0,3,0,10,5,1,0,0,2,0
"Hawthorn Vs Geelong Cats",2015-04-06 05:20:00,"CONCLUDED","CD_M20150140109","CD_V40","2015-04-06T05:20:00","CD_T80","CD_T70","CD_R201501401","2015-04-06T15:20:00","HAW V GEEL","#AFLHawksCats","Hawthorn",NA,"CD_T80","HAW","Hawks","Geelong Cats",NA,"CD_T70","GEEL","Cats","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2015","CD_R201501401","Rd 1","CD_S2015014",1,"CONCLUDED","CD_M20150140109",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",6,108,123,17,21,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",4,6,61,8,13,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two developing.",18,"OVERCAST",17,6,5,4,0,6,0,8,3,6,0,0,4,0
"West Coast Eagles Vs Carlton",2015-04-10 10:10:00,"CONCLUDED","CD_M20150140201","CD_V70","2015-04-10T10:10:00","CD_T150","CD_T30","CD_R201501402","2015-04-10T18:10:00","WCE V CARL","#AFLEaglesBlues","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Carlton",NA,"CD_T30","CARL","Blues","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140201",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",0,89,131,20,11,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",0,30,62,9,8,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",25,"OVERCAST",20,6,5,0,0,0,0,9,2,4,0,1,0,1
"Richmond Vs Western Bulldogs",2015-04-11 03:45:00,"CONCLUDED","CD_M20150140202","CD_V40","2015-04-11T03:45:00","CD_T120","CD_T140","CD_R201501402","2015-04-11T13:45:00","RICH V WB","#AFLTigersDogs","Richmond",NA,"CD_T120","RICH","Tigers","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140202",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",2,0,66,9,12,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",3,109,85,12,13,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",22,"OVERCAST",9,0,9,1,0,2,0,12,5,4,0,0,3,1
"GWS Giants Vs Melbourne",2015-04-11 04:10:00,"CONCLUDED","CD_M20150140203","CD_V150","2015-04-11T04:10:00","CD_T1010","CD_T90","CD_R201501402","2015-04-11T14:10:00","GWS V MELB","#AFLGiantsDees","GWS Giants",NA,"CD_T1010","GWS","Giants","Melbourne",NA,"CD_T90","MELB","Demons","Canberra","Manuka Oval","ACT","Australia/Canberra","CD_V150","MO",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140203",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",4,45,101,15,11,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",1,68,56,8,8,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",22,"OVERCAST",15,2,5,0,0,4,0,8,4,2,1,0,1,0
"Collingwood Vs Adelaide Crows",2015-04-11 06:35:00,"CONCLUDED","CD_M20150140204","CD_V190","2015-04-11T06:35:00","CD_T40","CD_T10","CD_R201501402","2015-04-11T16:35:00","COLL V ADEL","#AFLPiesCrows","Collingwood",NA,"CD_T40","COLL","Magpies","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140204",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,0,63,9,9,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",5,115,90,12,18,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",22,"OVERCAST",9,4,0,2,2,1,0,12,6,4,2,1,5,0
"Gold Coast Suns Vs St Kilda",2015-04-11 09:20:00,"CONCLUDED","CD_M20150140206","CD_V81","2015-04-11T09:20:00","CD_T1000","CD_T130","CD_R201501402","2015-04-11T19:20:00","GCFC V STK","#AFLSunsSaints","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","St Kilda",NA,"CD_T130","STK","Saints","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140206",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,15,76,10,16,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",1,106,104,16,8,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",25,"OVERCAST",10,7,5,2,1,1,0,16,3,4,0,0,1,0
"Port Adelaide Vs Sydney Swans",2015-04-11 09:40:00,"CONCLUDED","CD_M20150140205","CD_V6","2015-04-11T09:40:00","CD_T110","CD_T160","CD_R201501402","2015-04-11T19:10:00","PORT V SYD","#AFLPowerSwans","Port Adelaide",NA,"CD_T110","PORT","Power","Sydney Swans",NA,"CD_T160","SYD","Swans","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140205",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",2,13,44,6,8,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",1,99,92,14,8,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny.",24,"MOSTLY_SUNNY",6,3,2,1,0,2,0,14,3,3,0,0,1,1
"Geelong Cats Vs Fremantle",2015-04-12 03:10:00,"CONCLUDED","CD_M20150140207","CD_V30","2015-04-12T03:10:00","CD_T70","CD_T60","CD_R201501402","2015-04-12T13:10:00","GEEL V FRE","#AFLCatsFreo","Geelong Cats",NA,"CD_T70","GEEL","Cats","Fremantle",NA,"CD_T60","FRE","Freo","Geelong","GMHBA Stadium","VIC","Australia/Melbourne","CD_V30","GMHBA",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140207",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,1,60,9,6,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",4,107,104,15,14,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",19,"OVERCAST",9,0,4,1,0,1,0,15,5,5,0,0,4,0
"Essendon Vs Hawthorn",2015-04-12 05:20:00,"CONCLUDED","CD_M20150140208","CD_V40","2015-04-12T05:20:00","CD_T50","CD_T80","CD_R201501402","2015-04-12T15:20:00","ESS V HAW","#AFLDonsHawks","Essendon",NA,"CD_T50","ESS","Bombers","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140208",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,87,78,12,6,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",2,25,76,11,10,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",18,"OVERCAST",12,1,4,0,0,1,0,11,4,4,0,0,2,0
"North Melbourne Vs Brisbane Lions",2015-04-12 06:40:00,"CONCLUDED","CD_M20150140209","CD_V190","2015-04-12T06:40:00","CD_T100","CD_T20","CD_R201501402","2015-04-12T16:40:00","NMFC V BL","#AFLNorthLions","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Brisbane Lions",NA,"CD_T20","BL","Lions","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 2","2015","CD_R201501402","Rd 2","CD_S2015014",2,"CONCLUDED","CD_M20150140209",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",1,104,133,20,13,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",4,12,51,7,9,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",18,"OVERCAST",20,7,2,1,2,1,0,7,3,2,0,0,4,0
"Collingwood Vs St Kilda",2015-04-17 09:50:00,"CONCLUDED","CD_M20150140301","CD_V40","2015-04-17T09:50:00","CD_T40","CD_T130","CD_R201501403","2015-04-17T19:50:00","COLL V STK","#AFLPiesSaints","Collingwood",NA,"CD_T40","COLL","Magpies","St Kilda",NA,"CD_T130","STK","Saints","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 3","2015","CD_R201501403","Rd 3","CD_S2015014",3,"CONCLUDED","CD_M20150140301",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",5,87,140,21,14,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",0,35,66,10,6,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Afternoon and evening rain.",18,"RAIN",21,3,6,0,0,5,0,10,3,2,0,1,0,0
"Carlton Vs Essendon",2015-04-18 03:45:00,"CONCLUDED","CD_M20150140302","CD_V40","2015-04-18T03:45:00","CD_T30","CD_T50","CD_R201501403","2015-04-18T13:45:00","CARL V ESS","#AFLBluesDons","Carlton",NA,"CD_T30","CARL","Blues","Essendon",NA,"CD_T50","ESS","Bombers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 3","2015","CD_R201501403","Rd 3","CD_S2015014",3,"CONCLUDED","CD_M20150140302",NA,NA,NA,"1, 2, 3, 4, 31, 14, 3, 30, 4, 2, 0, 5, 7, 2, 3, 0, NA, NA, NA, NA",4,25,84,11,18,NA,"1, 2, 3, 4, 15, 37, 15, 38, 2, 5, 2, 6, 3, 7, 3, 2, NA, NA, NA, NA",1,97,105,16,9,NA,"1, 2, 3, 4, 1798, 1873, 1623, 1833, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Dry day.",21,"MOSTLY_SUNNY",11,6,5,2,1,4,0,16,3,3,0,1,1,1
