"Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","group_id"
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Toby","Bedford",12772,"12 <U+2191>","Melbourne",5,3,4,0,1,0,2,1,1,0,1,2,0,NA,4,5,0,1,2,1,0,55,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Jake","Bowey",12931,"17","Melbourne",8,2,1,1,0,0,0,2,1,1,1,0,0,NA,3,6,0,0,2,0,0,73,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Angus","Brayshaw",12322,"10","Melbourne",12,6,11,0,0,0,3,2,2,0,4,1,1,NA,4,19,0,0,1,0,0,83,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Ben","Brown",12289,"50","Melbourne",9,8,4,3,3,0,0,0,1,0,1,0,1,NA,6,7,2,6,2,0,0,86,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Bayley","Fritsch",12598,"31","Melbourne",8,4,1,2,2,0,1,0,2,0,2,0,1,NA,3,5,1,3,0,0,1,81,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Max","Gawn",11966,"11","Melbourne",11,4,3,1,0,34,1,2,5,4,9,2,6,NA,12,3,2,0,3,0,0,97,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"James","Harmes",12379,"4","Melbourne",6,1,11,1,0,0,5,1,3,2,4,2,1,NA,7,10,1,1,3,0,0,77,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Jayden","Hunt",4729,"29","Melbourne",7,4,4,0,0,0,1,2,0,0,2,0,0,NA,4,7,1,0,2,0,0,86,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Luke","Jackson",12779,"6","Melbourne",3,5,9,1,1,10,4,1,1,1,1,0,1,NA,8,5,2,1,1,0,0,86,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"James","Jordon",12860,"23","Melbourne",10,4,10,0,0,0,2,1,0,0,2,3,0,NA,8,12,0,0,0,0,0,70,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Ed","Langdon",12393,"15","Melbourne",12,3,10,1,0,0,0,3,5,1,3,0,1,NA,11,12,0,0,2,1,1,100,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Steven","May",11940,"1","Melbourne",13,7,1,0,0,0,0,5,1,0,3,0,1,NA,3,6,2,0,12,3,0,97,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Tom","McDonald",12009,"25","Melbourne",10,5,2,0,1,0,0,5,1,0,2,1,1,NA,3,8,1,0,4,0,1,83,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Alex","Neal-Bullen",12367,"30","Melbourne",10,3,8,0,1,0,7,0,6,0,1,1,0,NA,8,10,1,0,2,2,3,88,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Clayton","Oliver",12410,"13","Melbourne",19,6,13,0,0,0,5,3,4,6,12,0,7,NA,15,20,0,0,2,1,0,81,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Christian","Petracca",12430,"5","Melbourne",24,8,14,2,1,0,2,2,11,9,3,0,1,NA,16,22,0,2,0,0,1,87,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Kysaiah","Pickett",12771,"36","Melbourne",5,2,0,1,0,0,2,2,2,0,3,1,2,NA,1,4,0,1,1,0,1,68,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Christian","Salem",12272,"3 <U+2193>","Melbourne",0,0,3,0,0,0,0,0,0,0,2,0,1,NA,1,3,0,0,1,0,0,13,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Joel","Smith",12493,"44","Melbourne",10,5,1,0,0,0,2,4,0,0,5,0,2,NA,4,5,2,0,6,0,0,81,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Charlie","Spargo",12622,"9","Melbourne",8,2,6,0,1,0,2,0,4,0,2,2,1,NA,5,10,0,0,3,0,0,63,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Tom","Sparrow",12693,"32","Melbourne",6,5,7,0,0,0,2,1,3,2,3,0,1,NA,5,8,1,1,0,0,0,65,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Adam","Tomlinson",12027,"20","Melbourne",6,4,2,0,0,0,1,1,0,0,2,0,1,NA,3,6,0,0,4,0,0,100,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Jack","Viney",12147,"7","Melbourne",11,5,12,1,0,0,4,2,3,4,4,2,0,NA,12,11,0,1,1,0,0,79,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Marcus","Bontempelli",12269,"4","Western Bulldogs",13,7,4,1,0,0,7,3,4,1,3,1,1,NA,6,12,1,0,3,0,2,72,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Zaine","Cordy",12392,"12","Western Bulldogs",1,0,2,0,0,1,3,0,0,1,2,1,2,NA,1,1,0,0,4,0,1,84,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Hayden","Crozier",12088,"9","Western Bulldogs",14,12,5,1,0,0,3,3,2,0,3,0,2,NA,3,18,1,0,2,1,0,75,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
2022,"1",2022-03-16,1910,"M.C.G.",58002,"Melbourne",4,5,6,6,10,8,14,13,97,"Western Bulldogs",2,2,8,3,8,5,11,5,71,"Bailey","Dale",12354,"31","Western Bulldogs",17,6,8,1,0,0,0,6,3,1,2,1,0,NA,4,17,0,0,2,0,0,83,NA,"John Howorth"," Rob Findlay"," Jacob Mollison",NA,NA
