"Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","group_id"
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Dennis","Armfield",11673,"27","Carlton",1,2,5,1,0,0,1,0,0,0,2,0,1,0,1,5,0,0,0,0,0,82,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Levi","Casboult",12114,"41","Carlton",5,4,5,1,1,11,2,0,2,1,3,1,1,0,7,3,3,2,1,0,0,81,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Patrick","Cripps",12261,"9","Carlton",10,3,9,0,0,0,5,1,5,3,2,0,0,0,5,14,0,0,0,0,0,84,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Charlie","Curnow",12421,"30","Carlton",7,4,1,0,0,0,5,0,4,0,3,0,1,0,2,6,0,0,1,0,0,76,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Ed","Curnow",11883,"35","Carlton",13,5,6,0,0,0,4,0,3,5,4,1,2,0,5,11,0,0,0,2,0,86,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Sam","Docherty",12170,"15","Carlton",18,6,6,0,0,0,1,6,4,0,4,2,0,0,5,15,0,0,1,2,0,88,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Bryce","Gibbs",11535,"4","Carlton",14,4,12,1,1,0,6,3,4,7,4,2,2,0,15,10,0,2,1,0,1,79,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Matthew","Kreuzer",11645,"8","Carlton",11,4,4,2,0,39,4,1,2,4,3,0,0,0,8,8,1,2,3,0,1,84,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Harrison","Macreadie",12488,"26","Carlton",3,1,4,0,0,0,4,1,0,0,0,1,0,0,3,4,0,0,2,0,0,81,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Caleb","Marchbank",12369,"22","Carlton",15,8,4,0,0,0,2,6,1,0,5,2,3,0,10,9,3,0,5,0,0,88,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Marc","Murphy",4148,"3","Carlton",21,6,14,0,0,0,7,3,6,7,4,2,0,1,18,18,0,0,0,1,2,76,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Sam","Petrevski-Seton",12487,"5","Carlton",7,2,4,0,0,0,7,3,2,3,0,2,0,0,8,3,0,0,1,0,0,71,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Jarrod","Pickett",12489,"33","Carlton",2,2,3,0,0,0,3,0,1,0,0,0,0,0,2,3,1,1,2,2,1,68,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Lachie","Plowman",12142,"20","Carlton",12,10,8,0,0,0,1,2,0,0,0,1,0,0,5,15,2,0,12,0,0,92,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Sam","Rowe",12157,"17","Carlton",6,1,6,0,0,0,1,2,0,0,2,2,1,0,7,5,0,0,15,0,0,100,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
2017,"1",2017-03-23,1920,"M.C.G.",73137,"Carlton",4,3,7,4,12,4,14,5,89,"Richmond",7,3,13,5,15,11,20,12,132,"Jack","Silvagni",12458,"1","Carlton",8,5,3,2,2,0,1,0,3,0,1,1,0,0,4,8,0,4,0,0,1,79,NA,"Sam Hay"," Mathew Nicholls"," Matt Stevic",NA,NA
