"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Geelong Cats Vs GWS Giants",2021-08-06 09:50:00,"CONCLUDED","CD_M20210142104","CD_V30","2021-08-06T09:50:00","CD_T70","CD_T1010","CD_R202101421","2021-08-06T19:50:00","GEEL V GWS","#AFLCatsGiants","Geelong Cats",NA,"CD_T70","GEEL","Cats","GWS Giants",NA,"CD_T1010","GWS","Giants","Geelong","GMHBA Stadium","VIC","Australia/Melbourne","CD_V30","GMHBA",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142104",NA,NA,"2021-08-06T12:48:15.078+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",6,19,65,8,17,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",0,96,84,13,6,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Light shower or two",15,"RAIN",8,3,6,0,2,6,0,13,1,5,0,0,0,0
"Carlton Vs Gold Coast Suns",2021-08-07 03:45:00,"CONCLUDED","CD_M20210142103","CD_V190","2021-08-07T03:45:00","CD_T30","CD_T1000","CD_R202101421","2021-08-07T13:45:00","CARL V GCFC","#AFLBluesSuns","Carlton",NA,"CD_T30","CARL","Blues","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142103",NA,NA,"2021-08-07T06:41:14.879+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",3,45,57,8,9,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",4,51,76,11,10,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible light shower",15,"RAIN",8,4,1,0,1,3,0,11,2,4,0,0,4,0
"Richmond Vs North Melbourne",2021-08-07 06:35:00,"CONCLUDED","CD_M20210142106","CD_V40","2021-08-07T06:35:00","CD_T120","CD_T100","CD_R202101421","2021-08-07T16:35:00","RICH V NMFC","#AFLTigersNorth","Richmond",NA,"CD_T120","RICH","Tigers","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142106",NA,NA,"2021-08-07T09:24:53.990+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",3,39,89,13,11,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,68,56,8,8,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible light shower",15,"RAIN",13,2,4,2,0,3,0,8,1,3,1,0,2,1
"Adelaide Crows Vs Port Adelaide",2021-08-07 09:40:00,"CONCLUDED","CD_M20210142101","CD_V6","2021-08-07T09:40:00","CD_T10","CD_T110","CD_R202101421","2021-08-07T19:10:00","ADEL V PORT","#AFLCrowsPower","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Port Adelaide",NA,"CD_T110","PORT","Power","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142101",NA,NA,"2021-08-07T12:45:14.317+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,99,51,7,9,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",3,17,55,7,13,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",7,1,4,1,1,2,0,7,5,4,0,1,3,0
"St Kilda Vs Sydney Swans",2021-08-07 09:40:00,"CONCLUDED","CD_M20210142107","CD_V190","2021-08-07T09:40:00","CD_T130","CD_T160","CD_R202101421","2021-08-07T19:40:00","STK V SYD","#AFLSaintsSwans","St Kilda",NA,"CD_T130","STK","Saints","Sydney Swans",NA,"CD_T160","SYD","Swans","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142107",NA,NA,"2021-08-07T12:36:24.287+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",4,102,93,14,9,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",0,1,64,10,4,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible light shower",15,"RAIN",14,3,2,0,0,4,0,10,0,1,0,2,0,1
"Hawthorn Vs Collingwood",2021-08-08 04:10:00,"CONCLUDED","CD_M20210142105","CD_V40","2021-08-08T04:10:00","CD_T80","CD_T40","CD_R202101421","2021-08-08T14:10:00","HAW V COLL","#AFLHawksPies","Hawthorn",NA,"CD_T80","HAW","Hawks","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142105",NA,NA,"2021-08-08T07:00:15.256+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",5,112,97,15,7,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,0,78,12,6,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",16,"OVERCAST",15,1,1,0,0,5,0,12,3,1,0,0,2,0
"Western Bulldogs Vs Essendon",2021-08-08 05:20:00,"CONCLUDED","CD_M20210142109","CD_V190","2021-08-08T05:20:00","CD_T140","CD_T50","CD_R202101421","2021-08-08T15:20:00","WB V ESS","#AFLDogsDons","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Essendon",NA,"CD_T50","ESS","Bombers","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142109",NA,NA,"2021-08-08T08:12:10.901+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",2,45,84,12,12,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",2,61,97,15,7,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",16,"OVERCAST",12,2,4,2,2,2,0,15,3,1,0,1,2,0
"Fremantle Vs Brisbane Lions",2021-08-08 07:10:00,"CONCLUDED","CD_M20210142102","CD_V2925","2021-08-08T07:10:00","CD_T60","CD_T20","CD_R202101421","2021-08-08T15:10:00","FRE V BL","#AFLFreoLions","Fremantle",NA,"CD_T60","FRE","Freo","Brisbane Lions",NA,"CD_T20","BL","Lions","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142102",NA,NA,"2021-08-08T10:04:25.531+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",3,2,54,8,6,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",1,108,118,18,10,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",8,2,1,0,0,3,0,18,6,1,0,0,1,2
"West Coast Eagles Vs Melbourne",2021-08-09 10:10:00,"CONCLUDED","CD_M20210142108","CD_V2925","2021-08-09T10:10:00","CD_T150","CD_T90","CD_R202101421","2021-08-09T18:10:00","WCE V MELB","#AFLEaglesDees","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Melbourne",NA,"CD_T90","MELB","Demons","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 21","2021","CD_R202101421","Rd 21","CD_S2021014",21,"CONCLUDED","CD_M20210142108",NA,NA,"2021-08-09T13:32:23.629+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",1,7,63,9,9,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",3,131,72,10,12,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",9,4,2,0,1,1,1,10,5,4,0,0,3,0
"GWS Giants Vs Richmond",2021-08-13 09:50:00,"CONCLUDED","CD_M20210142205","CD_V190","2021-08-13T09:50:00","CD_T1010","CD_T120","CD_R202101422","2021-08-13T19:50:00","GWS V RICH","#AFLGiantsTigers","GWS Giants",NA,"CD_T1010","GWS","Giants","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 22","2021","CD_R202101422","Rd 22","CD_S2021014",22,"CONCLUDED","CD_M20210142205",NA,NA,"2021-08-13T12:49:19.320+0000","1, 2, 3, 4, 21, 32, 15, 37, 3, 5, 2, 5, 3, 2, 3, 7, NA, NA, NA, NA",0,111,106,16,10,NA,"1, 2, 3, 4, 20, 22, 18, 20, 3, 3, 2, 3, 2, 4, 6, 2, NA, NA, NA, NA",0,0,67,10,7,NA,"1, 2, 3, 4, 1935, 2027, 1847, 1927, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",17,"MOSTLY_SUNNY",16,5,4,0,1,0,0,10,2,2,1,2,0,0
