"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Richmond Vs Carlton",2016-03-24 08:20:00,"CONCLUDED","CD_M20160140101","CD_V40","2016-03-24T08:20:00","CD_T120","CD_T30","CD_R201601401","2016-03-24T19:20:00","RICH V CARL","#AFLTigersBlues","Richmond",NA,"CD_T120","RICH","Tigers","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140101",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",2,75,92,14,8,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",2,48,83,12,11,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two clearing",20,"OVERCAST",14,1,4,0,1,2,0,12,2,6,0,1,2,0
"Melbourne Vs GWS Giants",2016-03-26 02:40:00,"CONCLUDED","CD_M20160140102","CD_V40","2016-03-26T02:40:00","CD_T90","CD_T1010","CD_R201601401","2016-03-26T13:40:00","MELB V GWS","#AFLDeesGiants","Melbourne",NA,"CD_T90","MELB","Demons","GWS Giants",NA,"CD_T1010","GWS","Giants","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140102",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",3,38,80,12,8,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",2,75,78,10,18,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",21,"MOSTLY_SUNNY",12,4,1,0,0,3,0,10,6,8,1,1,2,0
"Gold Coast Suns Vs Essendon",2016-03-26 05:35:00,"CONCLUDED","CD_M20160140103","CD_V81","2016-03-26T05:35:00","CD_T1000","CD_T50","CD_R201601401","2016-03-26T15:35:00","GCFC V ESS","#AFLSunsDons","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Essendon",NA,"CD_T50","ESS","Bombers","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140103",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",3,112,121,17,19,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",1,1,60,9,6,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",30,"MOSTLY_SUNNY",17,6,6,2,1,3,1,9,1,3,0,1,1,0
"North Melbourne Vs Adelaide Crows",2016-03-26 08:25:00,"CONCLUDED","CD_M20160140104","CD_V190","2016-03-26T08:25:00","CD_T100","CD_T10","CD_R201601401","2016-03-26T19:25:00","NMFC V ADEL","#AFLNorthCrows","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140104",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",3,27,107,16,11,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",1,91,97,14,13,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Cloudy",21,"MOSTLY_SUNNY",16,2,5,1,0,3,0,14,5,4,1,2,1,0
"Sydney Swans Vs Collingwood",2016-03-26 08:25:00,"CONCLUDED","CD_M20160140105","CD_V60","2016-03-26T08:25:00","CD_T160","CD_T40","CD_R201601401","2016-03-26T19:25:00","SYD V COLL","#AFLSwansPies","Sydney Swans",NA,"CD_T160","SYD","Swans","Collingwood",NA,"CD_T40","COLL","Magpies","Sydney","SCG","NSW","Australia/Sydney","CD_V60","SCG",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140105",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",6,123,133,18,25,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",3,0,53,7,11,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two",25,"OVERCAST",18,8,9,1,0,6,1,7,3,4,1,0,3,0
"Western Bulldogs Vs Fremantle",2016-03-27 02:10:00,"CONCLUDED","CD_M20160140106","CD_V190","2016-03-27T02:10:00","CD_T140","CD_T60","CD_R201601401","2016-03-27T13:10:00","WB V FRE","#AFLDogsFreo","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Fremantle",NA,"CD_T60","FRE","Freo","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140106",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",0,112,103,15,13,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",0,0,38,5,8,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two",17,"OVERCAST",15,2,5,3,2,0,1,5,3,2,1,1,0,1
"Port Adelaide Vs St Kilda",2016-03-27 04:20:00,"CONCLUDED","CD_M20160140108","CD_V6","2016-03-27T04:20:00","CD_T110","CD_T130","CD_R201601401","2016-03-27T14:50:00","PORT V STK","#AFLPowerSaints","Port Adelaide",NA,"CD_T110","PORT","Power","St Kilda",NA,"CD_T130","STK","Saints","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140108",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",1,41,133,20,13,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",5,86,100,15,10,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",22,"MOSTLY_SUNNY",20,7,5,0,0,1,0,15,4,1,0,0,5,0
"West Coast Eagles Vs Brisbane Lions",2016-03-27 08:40:00,"CONCLUDED","CD_M20160140107","CD_V70","2016-03-27T08:40:00","CD_T150","CD_T20","CD_R201601401","2016-03-27T16:40:00","WCE V BL","#AFLEaglesLions","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Brisbane Lions",NA,"CD_T20","BL","Lions","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140107",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",3,126,166,26,10,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",3,1,102,15,12,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Cloudy",20,"MOSTLY_SUNNY",26,4,2,0,1,3,0,15,5,4,0,0,3,0
"Geelong Cats Vs Hawthorn",2016-03-28 04:20:00,"CONCLUDED","CD_M20160140109","CD_V40","2016-03-28T04:20:00","CD_T70","CD_T80","CD_R201601401","2016-03-28T15:20:00","GEEL V HAW","#AFLCatsHawks","Geelong Cats",NA,"CD_T70","GEEL","Cats","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2016","CD_R201601401","Rd 1","CD_S2016014",1,"CONCLUDED","CD_M20160140109",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",1,104,116,18,8,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",5,14,86,12,14,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Cloudy",19,"MOSTLY_SUNNY",18,3,1,1,2,1,0,12,3,5,1,0,5,0
"Collingwood Vs Richmond",2016-04-01 08:50:00,"CONCLUDED","CD_M20160140201","CD_V40","2016-04-01T08:50:00","CD_T40","CD_T120","CD_R201601402","2016-04-01T19:50:00","COLL V RICH","#AFLPiesTigers","Collingwood",NA,"CD_T40","COLL","Magpies","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2016","CD_R201601402","Rd 2","CD_S2016014",2,"CONCLUDED","CD_M20160140201",NA,NA,NA,"1, 2, 3, 4, 25, 19, 22, 26, 4, 3, 3, 4, 1, 1, 4, 2, NA, NA, NA, NA",3,27,87,13,9,NA,"1, 2, 3, 4, 28, 9, 38, 8, 4, 1, 6, 1, 4, 3, 2, 2, NA, NA, NA, NA",1,70,86,12,14,NA,"1, 2, 3, 4, 1960, 1856, 1796, 1831, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Cloudy",24,"MOSTLY_SUNNY",13,4,1,0,1,3,0,12,5,5,1,2,1,0
