"Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","group_id"
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Jake","Aarts",12790,"16","Richmond",7,2,5,2,0,0,2,0,3,0,4,0,3,NA,4,8,0,0,1,1,0,78,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"David","Astbury",11828,"12","Richmond",4,4,5,0,0,2,1,2,1,0,2,2,1,NA,4,6,0,0,4,0,1,88,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Liam","Baker",12661,"7","Richmond",4,0,11,0,0,0,0,1,4,0,6,0,3,NA,6,9,0,0,3,1,1,78,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Noah","Balta",12686,"21","Richmond",10,4,1,0,1,3,1,0,3,2,2,0,1,NA,6,6,2,0,6,0,0,84,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Shai","Bolton",12535,"29","Richmond",13,2,12,1,1,0,1,0,8,9,4,0,1,NA,14,10,0,0,0,2,1,79,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Nathan","Broad",12456,"35","Richmond",4,3,5,0,0,0,0,1,0,0,1,0,1,NA,5,5,0,0,6,0,0,70,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Josh","Caddy",12010,"22","Richmond",12,4,5,1,1,0,2,2,3,0,3,0,0,NA,4,13,0,0,2,0,0,79,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Jason","Castagna",12431,"11","Richmond",8,4,5,2,2,0,0,0,2,0,0,0,0,NA,2,9,0,2,3,2,0,84,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Shane","Edwards",11557,"10","Richmond",11,2,16,0,0,0,3,1,3,3,1,1,0,NA,12,13,0,0,3,0,1,81,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
2021,"1",2021-03-18,1925,"M.C.G.",49218,"Richmond",3,3,8,5,10,8,15,15,105,"Carlton",3,2,6,6,8,12,11,14,80,"Jack","Graham",12576,"34","Richmond",22,5,11,0,1,0,3,1,11,5,4,2,1,NA,8,26,0,0,0,0,1,76,NA,"Nick Foot"," Craig Fleer"," Jacob Mollison",NA,NA
