"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Richmond Vs Carlton",2018-03-22 08:25:00,"CONCLUDED","CD_M20180140101","CD_V40","2018-03-22T08:25:00","CD_T120","CD_T30","CD_R201801401","2018-03-22T19:25:00","RICH V CARL","#AFLTigersBlues","Richmond",NA,"CD_T120","RICH","Tigers","Carlton",NA,"CD_T30","CARL","Blues","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140101",NA,NA,"2018-03-22T11:21:45.357+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",4,51,121,17,19,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",2,67,95,15,5,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Clear",18,"CLEAR_NIGHT",17,5,8,2,0,4,0,15,0,2,1,0,2,0
"Essendon Vs Adelaide Crows",2018-03-23 08:50:00,"CONCLUDED","CD_M20180140102","CD_V190","2018-03-23T08:50:00","CD_T50","CD_T10","CD_R201801401","2018-03-23T19:50:00","ESS V ADEL","#AFLDonsCrows","Essendon",NA,"CD_T50","ESS","Bombers","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140102",NA,NA,"2018-03-23T11:40:00.780+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",1,47,99,14,15,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,62,87,12,15,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy Possible late shower",18,"MOSTLY_SUNNY",14,7,6,1,0,1,0,12,9,2,1,1,1,1
"St Kilda Vs Brisbane Lions",2018-03-24 04:35:00,"CONCLUDED","CD_M20180140103","CD_V190","2018-03-24T04:35:00","CD_T130","CD_T20","CD_R201801401","2018-03-24T15:35:00","STK V BL","#AFLSaintsLions","St Kilda",NA,"CD_T130","STK","Saints","Brisbane Lions",NA,"CD_T20","BL","Lions","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140103",NA,NA,"2018-03-24T07:26:57.497+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",3,72,107,16,11,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,30,82,12,10,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",18,"RAIN",16,4,4,0,0,3,0,12,4,4,1,0,1,0
"Port Adelaide Vs Fremantle",2018-03-24 05:35:00,"CONCLUDED","CD_M20180140104","CD_V6","2018-03-24T05:35:00","CD_T110","CD_T60","CD_R201801401","2018-03-24T16:05:00","PORT V FRE","#AFLPowerFreo","Port Adelaide",NA,"CD_T110","PORT","Power","Fremantle",NA,"CD_T60","FRE","Freo","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140104",NA,NA,"2018-03-24T08:21:48.290+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",1,98,110,16,14,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,7,60,9,6,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",16,3,6,1,1,1,2,9,0,2,1,1,1,1
"Gold Coast Suns Vs North Melbourne",2018-03-24 08:25:00,"CONCLUDED","CD_M20180140105","CD_V181","2018-03-24T08:25:00","CD_T1000","CD_T100","CD_R201801401","2018-03-24T18:25:00","GCFC V NMFC","#AFLSunsNorth","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Cairns","Cazalys Stadium","QLD","Australia/Brisbane","CD_V181","CS",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140105",NA,NA,"2018-03-24T11:34:33.608+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",3,74,55,7,13,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,23,39,5,9,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",7,3,5,0,0,3,2,5,3,1,1,2,1,1
"Hawthorn Vs Collingwood",2018-03-24 08:25:00,"CONCLUDED","CD_M20180140106","CD_V40","2018-03-24T08:25:00","CD_T80","CD_T40","CD_R201801401","2018-03-24T19:25:00","HAW V COLL","#AFLHawksPies","Hawthorn",NA,"CD_T80","HAW","Hawks","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140106",NA,NA,"2018-03-24T11:26:25.906+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",3,85,101,15,11,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",5,14,67,9,13,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",18,"RAIN",15,3,5,0,0,3,0,9,3,4,0,0,5,1
"GWS Giants Vs Western Bulldogs",2018-03-25 02:10:00,"CONCLUDED","CD_M20180140107","CD_V150","2018-03-25T02:10:00","CD_T1010","CD_T140","CD_R201801401","2018-03-25T13:10:00","GWS V WB","#AFLGiantsDogs","GWS Giants",NA,"CD_T1010","GWS","Giants","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Canberra","Manuka Oval","ACT","Australia/Canberra","CD_V150","MO",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140107",NA,NA,"2018-03-25T05:08:44.689+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",4,119,133,20,13,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,1,51,7,9,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Rain at times Windy",25,"RAIN",20,2,5,1,0,4,1,7,3,4,0,1,1,0
"Melbourne Vs Geelong Cats",2018-03-25 04:20:00,"CONCLUDED","CD_M20180140108","CD_V40","2018-03-25T04:20:00","CD_T90","CD_T70","CD_R201801401","2018-03-25T15:20:00","MELB V GEEL","#AFLDeesCats","Melbourne",NA,"CD_T90","MELB","Demons","Geelong Cats",NA,"CD_T70","GEEL","Cats","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140108",NA,NA,"2018-03-25T07:29:01.546+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",2,22,94,13,16,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",1,89,97,14,13,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two Windy",18,"RAIN",13,4,8,1,1,2,0,14,5,4,1,1,1,1
"West Coast Eagles Vs Sydney Swans",2018-03-25 08:20:00,"CONCLUDED","CD_M20180140109","CD_V2925","2018-03-25T08:20:00","CD_T150","CD_T160","CD_R201801401","2018-03-25T16:20:00","WCE V SYD","#AFLEaglesSwans","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Sydney Swans",NA,"CD_T160","SYD","Swans","Perth","Optus Stadium","WA","Australia/Perth","CD_V2925","OS",NA,NA,NA,NA,"Round 1","2018","CD_R201801401","Rd 1","CD_S2018014",1,"CONCLUDED","CD_M20180140109",NA,NA,"2018-03-25T11:14:29.461+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",1,13,86,13,8,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",0,110,115,18,7,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",13,2,3,1,1,1,0,18,2,4,1,0,0,0
"Adelaide Crows Vs Richmond",2018-03-29 08:50:00,"CONCLUDED","CD_M20180140201","CD_V6","2018-03-29T08:50:00","CD_T10","CD_T120","CD_R201801402","2018-03-29T19:20:00","ADEL V RICH","#AFLCrowsTigers","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Richmond",NA,"CD_T120","RICH","Tigers","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 2","2018","CD_R201801402","Rd 2","CD_S2018014",2,"CONCLUDED","CD_M20180140201",NA,NA,"2018-03-29T11:40:23.662+0000","1, 2, 3, 4, 28, 19, 33, 41, 4, 2, 5, 6, 4, 7, 3, 5, NA, NA, NA, NA",1,103,118,18,10,NA,"1, 2, 3, 4, 37, 14, 25, 19, 6, 2, 4, 3, 1, 2, 1, 1, NA, NA, NA, NA",2,15,82,12,10,NA,"4, 1, 2, 3, 1962, 2119, 1802, 2084, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly Sunny",18,"MOSTLY_SUNNY",18,4,3,0,1,1,1,12,1,4,1,1,2,1
