"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType","homeTeamScoreChart.goals","homeTeamScoreChart.leftBehinds","homeTeamScoreChart.rightBehinds","homeTeamScoreChart.leftPosters","homeTeamScoreChart.rightPosters","homeTeamScoreChart.rushedBehinds","homeTeamScoreChart.touchedBehinds","awayTeamScoreChart.goals","awayTeamScoreChart.leftBehinds","awayTeamScoreChart.rightBehinds","awayTeamScoreChart.leftPosters","awayTeamScoreChart.rightPosters","awayTeamScoreChart.rushedBehinds","awayTeamScoreChart.touchedBehinds"
"Carlton Vs Richmond",2017-03-23 08:20:00,"CONCLUDED","CD_M20170140101","CD_V40","2017-03-23T08:20:00","CD_T30","CD_T120","CD_R201701401","2017-03-23T19:20:00","CARL V RICH","#AFLBluesTigers","Carlton",NA,"CD_T30","CARL","Blues","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140101",NA,NA,"2017-03-23T11:11:15.753+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",1,0,89,14,5,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",3,116,132,20,12,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly clear",18,"CLEAR_NIGHT",14,1,2,1,0,1,0,20,5,3,0,1,3,0
"Collingwood Vs Western Bulldogs",2017-03-24 08:50:00,"CONCLUDED","CD_M20170140102","CD_V40","2017-03-24T08:50:00","CD_T40","CD_T140","CD_R201701401","2017-03-24T19:50:00","COLL V WB","#AFLPiesDogs","Collingwood",NA,"CD_T40","COLL","Magpies","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140102",NA,NA,"2017-03-24T11:37:33.127+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",3,4,86,12,14,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",4,98,100,15,10,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",18,"MOSTLY_SUNNY",12,6,4,0,1,3,0,15,3,2,0,1,4,0
"St Kilda Vs Melbourne",2017-03-25 05:35:00,"CONCLUDED","CD_M20170140103","CD_V190","2017-03-25T05:35:00","CD_T130","CD_T90","CD_R201701401","2017-03-25T16:35:00","STK V MELB","#AFLSaintsDees","St Kilda",NA,"CD_T130","STK","Saints","Melbourne",NA,"CD_T90","MELB","Demons","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140103",NA,NA,"2017-03-25T08:50:38.379+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",2,32,90,13,12,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",2,85,120,18,12,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",18,"MOSTLY_SUNNY",13,4,6,0,0,2,0,18,4,5,0,1,2,0
"Sydney Swans Vs Port Adelaide",2017-03-25 05:35:00,"CONCLUDED","CD_M20170140104","CD_V60","2017-03-25T05:35:00","CD_T160","CD_T110","CD_R201701401","2017-03-25T16:35:00","SYD V PORT","#AFLSwansPower","Sydney Swans",NA,"CD_T160","SYD","Swans","Port Adelaide",NA,"CD_T110","PORT","Power","Sydney","SCG","NSW","Australia/Sydney","CD_V60","SCG",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140104",NA,NA,"2017-03-25T08:23:24.493+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",1,32,82,12,10,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",0,82,110,17,8,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two",18,"RAIN",12,5,3,1,0,1,0,17,1,6,0,0,0,1
"Essendon Vs Hawthorn",2017-03-25 08:25:00,"CONCLUDED","CD_M20170140106","CD_V40","2017-03-25T08:25:00","CD_T50","CD_T80","CD_R201701401","2017-03-25T19:25:00","ESS V HAW","#AFLDonsHawks","Essendon",NA,"CD_T50","ESS","Bombers","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140106",NA,NA,"2017-03-25T11:24:35.434+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",2,85,116,17,14,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",5,31,91,12,19,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",18,"MOSTLY_SUNNY",17,5,6,1,0,2,0,12,5,9,0,0,5,0
"Gold Coast Suns Vs Brisbane Lions",2017-03-25 09:05:00,"CONCLUDED","CD_M20170140105","CD_V81","2017-03-25T09:05:00","CD_T1000","CD_T20","CD_R201701401","2017-03-25T19:05:00","GCFC V BL","#AFLSunsLions","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Brisbane Lions",NA,"CD_T20","BL","Lions","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140105",NA,NA,"2017-03-25T12:05:28.980+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",2,0,96,14,12,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",2,117,98,15,8,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",18,"MOSTLY_SUNNY",14,1,8,1,0,2,0,15,1,2,1,1,2,1
"North Melbourne Vs West Coast Eagles",2017-03-26 02:10:00,"CONCLUDED","CD_M20170140107","CD_V190","2017-03-26T02:10:00","CD_T100","CD_T150","CD_R201701401","2017-03-26T13:10:00","NMFC V WCE","#AFLNorthEagles","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140107",NA,NA,"2017-03-26T05:06:25.690+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",0,15,93,13,15,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",1,104,136,21,10,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",28,"MOSTLY_SUNNY",13,3,11,1,0,0,0,21,3,4,1,1,1,0
"Adelaide Crows Vs GWS Giants",2017-03-26 04:20:00,"CONCLUDED","CD_M20170140108","CD_V6","2017-03-26T04:20:00","CD_T10","CD_T1010","CD_R201701401","2017-03-26T14:50:00","ADEL V GWS","#AFLCrowsGiants","Adelaide Crows",NA,"CD_T10","ADEL","Crows","GWS Giants",NA,"CD_T1010","GWS","Giants","Adelaide","Adelaide Oval","SA","Australia/Adelaide","CD_V6","AO",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140108",NA,NA,"2017-03-26T07:25:12.082+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",2,71,147,22,15,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",0,41,91,14,7,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Windy Clear",18,"WINDY",22,5,6,1,1,2,0,14,0,6,1,0,0,0
"Fremantle Vs Geelong Cats",2017-03-26 08:40:00,"CONCLUDED","CD_M20170140109","CD_V70","2017-03-26T08:40:00","CD_T60","CD_T70","CD_R201701401","2017-03-26T16:40:00","FRE V GEEL","#AFLFreoCats","Fremantle",NA,"CD_T60","FRE","Freo","Geelong Cats",NA,"CD_T70","GEEL","Cats","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 1","2017","CD_R201701401","Rd 1","CD_S2017014",1,"CONCLUDED","CD_M20170140109",NA,NA,"2017-03-26T11:29:44.375+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",2,2,73,10,13,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",0,104,115,18,7,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy",18,"MOSTLY_SUNNY",10,3,4,3,1,2,0,18,4,2,1,0,0,0
"Richmond Vs Collingwood",2017-03-30 08:20:00,"CONCLUDED","CD_M20170140201","CD_V40","2017-03-30T08:20:00","CD_T120","CD_T40","CD_R201701402","2017-03-30T19:20:00","RICH V COLL","#AFLTigersPies","Richmond",NA,"CD_T120","RICH","Tigers","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 2","2017","CD_R201701402","Rd 2","CD_S2017014",2,"CONCLUDED","CD_M20170140201",NA,NA,"2017-03-30T11:31:14.983+0000","1, 2, 3, 4, 27, 19, 30, 13, 4, 3, 5, 2, 3, 1, 0, 1, NA, NA, NA, NA",1,64,99,14,15,NA,"1, 2, 3, 4, 45, 38, 18, 31, 7, 6, 2, 5, 3, 2, 6, 1, NA, NA, NA, NA",3,49,80,11,14,NA,"1, 2, 3, 4, 1965, 1925, 1741, 1901, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible shower",18,"RAIN",14,3,10,0,1,1,0,11,7,3,1,0,3,0
