"Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","First.name","Surname","ID","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","group_id"
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"David","Astbury",11828,"12","Richmond",9,3,5,0,0,0,2,6,0,0,3,1,2,0,5,8,0,0,5,0,0,98,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Liam","Baker",12661,"7","Richmond",6,2,10,0,0,0,1,4,0,1,2,1,1,0,10,6,0,0,4,0,0,82,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Shai","Bolton",12535,"29","Richmond",11,6,2,3,1,0,2,1,3,1,2,1,0,0,3,10,0,2,1,2,1,85,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Nathan","Broad",12456,"35","Richmond",8,4,1,0,0,0,1,4,0,0,2,0,2,0,1,7,0,0,6,0,0,94,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Josh","Caddy",12010,"22","Richmond",10,5,5,0,0,0,3,1,5,2,3,0,0,0,2,11,1,0,1,0,2,94,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jason","Castagna",12431,"11","Richmond",5,1,3,3,0,0,3,1,3,0,0,0,0,0,0,8,0,0,2,0,0,90,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Trent","Cotchin",11666,"9","Richmond",11,3,8,0,2,0,2,4,5,3,6,1,2,0,9,11,1,0,1,0,0,80,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Shane","Edwards",11557,"10","Richmond",7,1,8,1,0,0,2,0,6,5,2,1,1,0,6,10,0,0,2,0,2,90,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jack","Graham",12576,"34","Richmond",2,0,6,0,0,0,1,0,0,1,0,1,0,0,4,4,0,0,0,0,0,87,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Dylan","Grimes",11879,"2","Richmond",5,5,2,0,0,0,2,4,0,0,4,0,2,0,2,4,1,0,3,0,0,97,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Kane","Lambert",12333,"23","Richmond",6,3,8,1,1,0,2,2,0,4,1,1,0,0,6,10,0,1,2,0,1,82,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Tom","Lynch",11948,"19","Richmond",4,0,5,0,1,0,1,0,1,0,2,1,2,0,6,3,0,0,1,0,0,91,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Dustin","Martin",11794,"4","Richmond",12,3,12,1,1,0,4,0,4,3,3,1,1,0,8,12,1,1,3,1,2,93,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Toby","Nankervis",12374,"25","Richmond",1,1,6,0,0,16,1,0,1,1,4,1,3,0,4,3,0,0,1,0,0,46,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Marlion","Pickett",12761,"50","Richmond",8,1,6,0,0,0,5,1,5,2,1,1,0,0,6,8,0,1,3,0,1,73,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Dion","Prestia",11917,"3","Richmond",11,2,14,1,0,0,5,2,9,2,4,2,2,0,7,19,0,0,1,0,2,79,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jack","Riewoldt",11576,"8","Richmond",5,5,1,3,1,0,2,0,1,0,6,0,3,0,3,3,3,5,2,0,1,97,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Daniel","Rioli",12403,"17","Richmond",8,3,4,3,0,0,3,0,1,0,1,1,1,0,5,6,0,1,1,2,0,81,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jayden","Short",12418,"15","Richmond",13,5,2,0,0,0,2,4,1,0,0,0,0,0,3,11,1,0,1,0,0,79,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Ivan","Soldo",12529,"20","Richmond",4,2,6,0,1,25,3,2,1,5,0,3,0,0,9,3,0,1,3,0,0,58,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Sydney","Stack",12708,"44","Richmond",3,0,7,0,0,0,2,0,2,0,4,1,2,0,6,5,0,0,1,0,0,73,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Nick","Vlastuin",12174,"1","Richmond",6,2,1,0,0,0,3,5,0,0,0,0,0,0,4,2,2,0,4,0,0,50,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Levi","Casboult",12114,"41","Carlton",10,4,6,2,0,16,0,0,2,2,3,3,1,0,7,9,1,0,2,0,0,86,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Patrick","Cripps",12261,"9","Carlton",15,3,16,0,0,0,2,1,7,10,6,1,1,0,17,15,0,0,3,0,0,92,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"David","Cuningham",12476,"28","Carlton",7,3,1,2,1,0,1,0,2,0,1,1,0,0,2,5,1,0,1,0,1,89,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Ed","Curnow",11883,"35","Carlton",10,2,6,0,0,0,3,0,4,4,6,1,3,0,7,8,1,0,1,0,0,86,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Sam","Docherty",12170,"15","Carlton",17,7,9,0,0,0,1,9,4,0,1,1,0,0,8,17,0,0,4,0,0,86,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Paddy","Dow",12582,"2","Carlton",4,3,3,0,2,0,2,1,1,0,1,1,0,0,2,5,0,2,0,0,1,76,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Zac","Fisher",12520,"25","Carlton",10,3,7,0,0,0,0,0,5,3,0,1,0,0,8,9,0,0,2,0,0,76,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Michael","Gibbons",12685,"40","Carlton",3,1,4,0,0,0,0,0,1,0,0,0,0,0,2,6,0,1,0,0,0,83,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Liam","Jones",11866,"14","Carlton",5,4,4,0,1,0,0,1,1,0,0,1,0,0,4,4,1,0,6,0,0,97,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Matthew","Kreuzer",11645,"8","Carlton",0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,21,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jack","Martin",12236,"21","Carlton",11,6,6,4,1,0,1,0,2,0,4,3,3,0,7,10,0,3,4,0,1,90,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Mitch","McGovern",12404,"11","Carlton",4,4,3,1,1,3,2,0,1,0,1,0,1,0,4,3,2,3,2,0,1,77,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Marc","Murphy",4148,"3","Carlton",12,8,14,0,0,0,0,0,6,5,7,2,4,0,11,18,0,2,2,0,1,87,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Nic","Newman",12508,"24","Carlton",11,2,2,0,0,0,2,3,0,0,4,1,1,0,1,9,0,0,0,0,0,71,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jack","Newnes",12050,"32","Carlton",9,2,3,1,0,0,1,1,4,0,4,0,1,0,2,10,0,0,0,0,0,79,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Sam","Petrevski-Seton",12487,"5","Carlton",11,0,8,0,0,0,2,1,2,3,0,2,0,0,11,8,0,0,1,0,0,84,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Lachie","Plowman",12142,"20","Carlton",5,1,2,0,1,0,0,2,2,0,1,1,0,0,2,5,0,0,2,0,0,85,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Will","Setterfield",12567,"43","Carlton",4,1,2,0,0,0,2,0,2,1,2,0,1,0,3,2,0,0,1,0,0,83,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jack","Silvagni",12458,"1","Carlton",4,1,2,2,1,0,0,0,0,0,0,2,0,0,5,2,1,1,1,0,0,87,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Kade","Simpson",1456,"6","Carlton",13,6,7,0,0,0,0,6,0,3,3,1,0,0,6,11,0,0,0,0,0,88,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Sam","Walsh",12684,"18","Carlton",12,5,7,0,0,0,0,0,6,2,3,0,0,0,8,11,0,0,0,0,0,81,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-19,1940,"M.C.G.",0,"Richmond",7,2,11,3,14,5,16,9,105,"Carlton",2,1,3,5,8,7,12,9,81,"Jacob","Weitering",12402,"23","Carlton",11,2,1,0,0,0,3,4,2,0,4,2,2,0,9,5,0,0,10,0,0,96,NA,"Simon Meredith"," Rob OGorman"," Nathan Williamson",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Marcus","Bontempelli",12269,"4","Western Bulldogs",5,0,10,0,0,0,6,1,2,2,7,1,3,0,7,9,0,0,4,0,0,82,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Josh","Bruce",12065,"17","Western Bulldogs",2,1,4,1,0,2,2,0,0,2,1,0,0,0,2,4,0,1,2,0,0,90,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Ben","Cavarra",12764,"25","Western Bulldogs",2,1,1,1,1,0,1,1,1,1,0,1,0,0,2,1,0,0,1,0,0,72,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Zaine","Cordy",12392,"12","Western Bulldogs",9,2,0,0,0,0,0,5,0,0,0,0,0,0,2,4,0,0,7,0,0,94,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Hayden","Crozier",12088,"9","Western Bulldogs",12,4,5,0,0,0,7,3,1,1,4,2,3,0,7,10,0,0,5,0,0,84,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Bailey","Dale",12354,"31","Western Bulldogs",1,1,5,0,0,0,0,0,0,0,2,0,1,0,2,4,0,0,0,0,0,76,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Caleb","Daniel",12373,"35","Western Bulldogs",10,3,10,0,0,0,1,2,3,1,1,0,0,0,8,11,0,0,2,0,0,78,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Josh","Dunkley",12408,"5","Western Bulldogs",9,2,9,0,0,0,2,2,1,2,2,0,0,0,7,11,0,0,2,0,0,81,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Tim","English",12537,"44","Western Bulldogs",9,4,1,0,1,11,0,0,1,1,0,3,0,0,4,6,2,0,5,0,0,78,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Ryan","Gardner",12732,"43","Western Bulldogs",8,5,3,0,0,0,1,0,0,0,2,0,0,0,0,10,0,0,8,0,0,97,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Lachie","Hunter",12203,"7","Western Bulldogs",13,5,9,0,0,0,1,2,1,1,5,1,2,0,5,17,0,0,1,1,0,85,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Jason","Johannisen",12122,"39","Western Bulldogs",11,4,5,0,0,0,0,0,0,2,1,0,0,0,4,13,0,0,1,0,1,82,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
2020,"1",2020-03-20,1950,"Docklands",0,"Western Bulldogs",1,0,4,0,5,2,5,4,34,"Collingwood",5,2,8,6,10,7,13,8,86,"Alex","Keath",12560,"42","Western Bulldogs",13,9,2,0,0,0,1,2,1,1,2,0,1,0,5,10,3,0,3,0,0,85,NA,"Chris Donlon"," Brendan Hosking"," Alex Whetton",NA,NA
