"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","homeTeamScoreChart","awayTeamScoreChart","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType"
"Melbourne Vs Collingwood",2013-06-10 05:20:00,"CONCLUDED","CD_M20130141106","CD_V40","2013-06-10T05:20:00","CD_T90","CD_T40","CD_R201301411","2013-06-10T15:20:00","MELB V COLL","#AFLDeesPies","Melbourne",NA,"CD_T90","MELB","Demons","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 11","2013","CD_R201301411","Rd 11","CD_S2013014",11,"CONCLUDED","CD_M20130141106",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,39,5,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,122,17,20,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",15,"OVERCAST"
"Carlton Vs Hawthorn",2013-06-14 09:50:00,"CONCLUDED","CD_M20130141201","CD_V190","2013-06-14T09:50:00","CD_T30","CD_T80","CD_R201301412","2013-06-14T19:50:00","CARL V HAW","#AFLBluesHawks","Carlton",NA,"CD_T30","CARL","Blues","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141201",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,87,13,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,102,15,12,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",12,"MOSTLY_SUNNY"
"Richmond Vs Adelaide Crows",2013-06-15 03:40:00,"CONCLUDED","CD_M20130141202","CD_V40","2013-06-15T03:40:00","CD_T120","CD_T10","CD_R201301412","2013-06-15T13:40:00","RICH V ADEL","#AFLTigersCrows","Richmond",NA,"CD_T120","RICH","Tigers","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141202",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",0,NA,110,16,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,72,10,12,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",14,"OVERCAST"
"Fremantle Vs Brisbane Lions",2013-06-15 06:40:00,"CONCLUDED","CD_M20130141203","CD_V70","2013-06-15T06:40:00","CD_T60","CD_T20","CD_R201301412","2013-06-15T14:40:00","FRE V BL","#AFLFreoLions","Fremantle",NA,"CD_T60","FRE","Freo","Brisbane Lions",NA,"CD_T20","BL","Lions","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141203",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,86,12,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,46,6,10,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly Sunny. Cool.",14,"OVERCAST"
"Essendon Vs Gold Coast Suns",2013-06-15 09:40:00,"CONCLUDED","CD_M20130141204","CD_V190","2013-06-15T09:40:00","CD_T50","CD_T1000","CD_R201301412","2013-06-15T19:40:00","ESS V GCFC","#AFLDonsSuns","Essendon",NA,"CD_T50","ESS","Bombers","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141204",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,115,17,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,72,11,6,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",11,"MOSTLY_SUNNY"
"GWS Giants Vs Port Adelaide",2013-06-16 03:10:00,"CONCLUDED","CD_M20130141205","CD_V43","2013-06-16T03:10:00","CD_T1010","CD_T110","CD_R201301412","2013-06-16T13:10:00","GWS V PORT","#AFLGiantsPower","GWS Giants",NA,"CD_T1010","GWS","Giants","Port Adelaide",NA,"CD_T110","PORT","Power","Sydney","GIANTS Stadium","NSW","Australia/Sydney","CD_V43","GS",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141205",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,50,6,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,125,19,11,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny.",14,"MOSTLY_SUNNY"
"Collingwood Vs Western Bulldogs",2013-06-16 06:40:00,"CONCLUDED","CD_M20130141206","CD_V190","2013-06-16T06:40:00","CD_T40","CD_T140","CD_R201301412","2013-06-16T16:40:00","COLL V WB","#AFLPiesDogs","Collingwood",NA,"CD_T40","COLL","Magpies","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 12","2013","CD_R201301412","Rd 12","CD_S2013014",12,"CONCLUDED","CD_M20130141206",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,99,15,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,65,9,11,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",13,"OVERCAST"
"Hawthorn Vs West Coast Eagles",2013-06-21 09:50:00,"CONCLUDED","CD_M20130141301","CD_V190","2013-06-21T09:50:00","CD_T80","CD_T150","CD_R201301413","2013-06-21T19:50:00","HAW V WCE","#AFLHawksEagles","Hawthorn",NA,"CD_T80","HAW","Hawks","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141301",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",0,NA,123,19,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,103,16,7,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",8,"MOSTLY_CLEAR"
"Port Adelaide Vs Sydney Swans",2013-06-22 03:40:00,"CONCLUDED","CD_M20130141302","CD_V10","2013-06-22T03:40:00","CD_T110","CD_T160","CD_R201301413","2013-06-22T13:10:00","PORT V SYD","#AFLPowerSwans","Port Adelaide",NA,"CD_T110","PORT","Power","Sydney Swans",NA,"CD_T160","SYD","Swans","Adelaide","AAMI Stadium","SA","Australia/Adelaide","CD_V10","AS",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141302",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,72,10,12,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,54,8,6,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",11,"MOSTLY_SUNNY"
"St Kilda Vs Melbourne",2013-06-22 06:40:00,"CONCLUDED","CD_M20130141303","CD_V40","2013-06-22T06:40:00","CD_T130","CD_T90","CD_R201301413","2013-06-22T16:40:00","STK V MELB","#AFLSaintsDees","St Kilda",NA,"CD_T130","STK","Saints","Melbourne",NA,"CD_T90","MELB","Demons","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141303",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,104,16,8,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",0,NA,69,10,9,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly clear.",11,"MOSTLY_SUNNY"
