"match.name","match.date","match.status","match.matchId","match.venue","match.utcStartTime","match.homeTeamId","match.awayTeamId","match.round","match.venueLocalStartTime","match.abbr","match.twitterHashTag","match.homeTeam.name","match.homeTeam.timeZone","match.homeTeam.teamId","match.homeTeam.abbr","match.homeTeam.nickname","match.awayTeam.name","match.awayTeam.timeZone","match.awayTeam.teamId","match.awayTeam.abbr","match.awayTeam.nickname","venue.address","venue.name","venue.state","venue.timeZone","venue.venueId","venue.abbreviation","venue.capacity","venue.groundDimension","venue.latitude","venue.longitude","round.name","round.year","round.roundId","round.abbreviation","round.competitionId","round.roundNumber","status","matchId","scoreWorm","scoreMap","homeTeamScoreChart","awayTeamScoreChart","lastUpdated","homeTeamScore.periodScore","homeTeamScore.rushedBehinds","homeTeamScore.minutesInFront","homeTeamScore.matchScore.totalScore","homeTeamScore.matchScore.goals","homeTeamScore.matchScore.behinds","homeTeamScore.matchScore.superGoals","awayTeamScore.periodScore","awayTeamScore.rushedBehinds","awayTeamScore.minutesInFront","awayTeamScore.matchScore.totalScore","awayTeamScore.matchScore.goals","awayTeamScore.matchScore.behinds","awayTeamScore.matchScore.superGoals","matchClock.periods","weather.description","weather.tempInCelsius","weather.weatherType"
"Western Bulldogs Vs Richmond",2013-06-22 09:40:00,"CONCLUDED","CD_M20130141304","CD_V190","2013-06-22T09:40:00","CD_T140","CD_T120","CD_R201301413","2013-06-22T19:40:00","WB V RICH","#AFLDogsTigers","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141304",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,61,8,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,121,17,19,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly clear.",12,"MOSTLY_CLEAR"
"Fremantle Vs North Melbourne",2013-06-23 05:20:00,"CONCLUDED","CD_M20130141305","CD_V70","2013-06-23T05:20:00","CD_T60","CD_T100","CD_R201301413","2013-06-23T13:20:00","FRE V NMFC","#AFLFreoNorth","Fremantle",NA,"CD_T60","FRE","Freo","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141305",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,67,10,7,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,29,4,5,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly sunny.",20,"MOSTLY_SUNNY"
"Brisbane Lions Vs Geelong Cats",2013-06-23 06:40:00,"CONCLUDED","CD_M20130141306","CD_V20","2013-06-23T06:40:00","CD_T20","CD_T70","CD_R201301413","2013-06-23T16:40:00","BL V GEEL","#AFLLionsCats","Brisbane Lions",NA,"CD_T20","BL","Lions","Geelong Cats",NA,"CD_T70","GEEL","Cats","Brisbane","Gabba","QLD","Australia/Brisbane","CD_V20","G",NA,NA,NA,NA,"Round 13","2013","CD_R201301413","Rd 13","CD_S2013014",13,"CONCLUDED","CD_M20130141306",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,103,15,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,98,14,14,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly fine",20,"OVERCAST"
"West Coast Eagles Vs Essendon",2013-06-27 10:10:00,"CONCLUDED","CD_M20130141401","CD_V70","2013-06-27T10:10:00","CD_T150","CD_T50","CD_R201301414","2013-06-27T18:10:00","WCE V ESS","#AFLEaglesDons","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Essendon",NA,"CD_T50","ESS","Bombers","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141401",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",5,NA,91,13,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,98,15,8,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly clear.",18,"OVERCAST"
"Sydney Swans Vs Carlton",2013-06-28 09:50:00,"CONCLUDED","CD_M20130141402","CD_V60","2013-06-28T09:50:00","CD_T160","CD_T30","CD_R201301414","2013-06-28T19:50:00","SYD V CARL","#AFLSwansBlues","Sydney Swans",NA,"CD_T160","SYD","Swans","Carlton",NA,"CD_T30","CARL","Blues","Sydney","SCG","NSW","Australia/Sydney","CD_V60","SCG",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141402",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,65,8,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",5,NA,43,5,13,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Cloudy. Scattered showers.",15,"MOSTLY_SUNNY"
"Gold Coast Suns Vs Adelaide Crows",2013-06-29 03:40:00,"CONCLUDED","CD_M20130141403","CD_V81","2013-06-29T03:40:00","CD_T1000","CD_T10","CD_R201301414","2013-06-29T13:40:00","GCFC V ADEL","#AFLSunsCrows","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Gold Coast","Metricon Stadium","QLD","Australia/Brisbane","CD_V81","MS",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141403",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,83,11,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,111,16,15,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Showers.",19,"OVERCAST"
"Port Adelaide Vs Collingwood",2013-06-29 06:40:00,"CONCLUDED","CD_M20130141404","CD_V10","2013-06-29T06:40:00","CD_T110","CD_T40","CD_R201301414","2013-06-29T16:10:00","PORT V COLL","#AFLPowerPies","Port Adelaide",NA,"CD_T110","PORT","Power","Collingwood",NA,"CD_T40","COLL","Magpies","Adelaide","AAMI Stadium","SA","Australia/Adelaide","CD_V10","AS",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141404",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",0,NA,86,13,8,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,51,7,9,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",17,"MOSTLY_SUNNY"
"Geelong Cats Vs Fremantle",2013-06-29 09:40:00,"CONCLUDED","CD_M20130141405","CD_V30","2013-06-29T09:40:00","CD_T70","CD_T60","CD_R201301414","2013-06-29T19:40:00","GEEL V FRE","#AFLCatsFreo","Geelong Cats",NA,"CD_T70","GEEL","Cats","Fremantle",NA,"CD_T60","FRE","Freo","Geelong","GMHBA Stadium","VIC","Australia/Melbourne","CD_V30","GMHBA",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141405",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",4,NA,85,11,19,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,44,7,2,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",11,"MOSTLY_SUNNY"
"Melbourne Vs Western Bulldogs",2013-06-29 09:40:00,"CONCLUDED","CD_M20130141406","CD_V40","2013-06-29T09:40:00","CD_T90","CD_T140","CD_R201301414","2013-06-29T19:40:00","MELB V WB","#AFLDeesDogs","Melbourne",NA,"CD_T90","MELB","Demons","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141406",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",5,NA,103,15,13,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,100,15,10,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",12,"MOSTLY_SUNNY"
"Hawthorn Vs Brisbane Lions",2013-06-30 03:10:00,"CONCLUDED","CD_M20130141407","CD_V200","2013-06-30T03:10:00","CD_T80","CD_T20","CD_R201301414","2013-06-30T13:10:00","HAW V BL","#AFLHawksLions","Hawthorn",NA,"CD_T80","HAW","Hawks","Brisbane Lions",NA,"CD_T20","BL","Lions","Launceston","University of Tasmania Stadium","TAS","Australia/Hobart","CD_V200","UTAS",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141407",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,143,21,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",4,NA,85,12,13,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Possible morning shower.",16,"OVERCAST"
"North Melbourne Vs GWS Giants",2013-06-30 05:20:00,"CONCLUDED","CD_M20130141408","CD_V190","2013-06-30T05:20:00","CD_T100","CD_T1010","CD_R201301414","2013-06-30T15:20:00","NMFC V GWS","#AFLNorthGiants","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","GWS Giants",NA,"CD_T1010","GWS","Giants","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141408",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",5,NA,130,19,16,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,44,6,8,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",17,"SUNNY"
"Richmond Vs St Kilda",2013-06-30 06:40:00,"CONCLUDED","CD_M20130141409","CD_V40","2013-06-30T06:40:00","CD_T120","CD_T130","CD_R201301414","2013-06-30T16:40:00","RICH V STK","#AFLTigersSaints","Richmond",NA,"CD_T120","RICH","Tigers","St Kilda",NA,"CD_T130","STK","Saints","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 14","2013","CD_R201301414","Rd 14","CD_S2013014",14,"CONCLUDED","CD_M20130141409",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",6,NA,119,17,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",0,NA,55,8,7,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",16,"SUNNY"
"Carlton Vs Collingwood",2013-07-05 09:50:00,"CONCLUDED","CD_M20130141501","CD_V40","2013-07-05T09:50:00","CD_T30","CD_T40","CD_R201301415","2013-07-05T19:50:00","CARL V COLL","#AFLBluesPies","Carlton",NA,"CD_T30","CARL","Blues","Collingwood",NA,"CD_T40","COLL","Magpies","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141501",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",0,NA,77,12,5,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,118,17,16,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",12,"MOSTLY_CLEAR"
"GWS Giants Vs Western Bulldogs",2013-07-06 03:45:00,"CONCLUDED","CD_M20130141502","CD_V150","2013-07-06T03:45:00","CD_T1010","CD_T140","CD_R201301415","2013-07-06T13:45:00","GWS V WB","#AFLGiantsDogs","GWS Giants",NA,"CD_T1010","GWS","Giants","Western Bulldogs",NA,"CD_T140","WB","Bulldogs","Canberra","Manuka Oval","ACT","Australia/Canberra","CD_V150","MO",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141502",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",3,NA,83,12,11,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,87,13,9,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",11,"RAIN"
"North Melbourne Vs Richmond",2013-07-06 04:10:00,"CONCLUDED","CD_M20130141503","CD_V190","2013-07-06T04:10:00","CD_T100","CD_T120","CD_R201301415","2013-07-06T14:10:00","NMFC V RICH","#AFLNorthTigers","North Melbourne",NA,"CD_T100","NMFC","Kangaroos","Richmond",NA,"CD_T120","RICH","Tigers","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141503",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,128,19,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,66,8,18,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",14,"OVERCAST"
"Brisbane Lions Vs Gold Coast Suns",2013-07-06 06:40:00,"CONCLUDED","CD_M20130141504","CD_V20","2013-07-06T06:40:00","CD_T20","CD_T1000","CD_R201301415","2013-07-06T16:40:00","BL V GCFC","#AFLLionsSuns","Brisbane Lions",NA,"CD_T20","BL","Lions","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Brisbane","Gabba","QLD","Australia/Brisbane","CD_V20","G",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"POSTGAME","CD_M20130141504",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,116,17,14,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,83,12,11,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Mostly fine, possible shower",23,"OVERCAST"
"Geelong Cats Vs Hawthorn",2013-07-06 09:40:00,"CONCLUDED","CD_M20130141505","CD_V40","2013-07-06T09:40:00","CD_T70","CD_T80","CD_R201301415","2013-07-06T19:40:00","GEEL V HAW","#AFLCatsHawks","Geelong Cats",NA,"CD_T70","GEEL","Cats","Hawthorn",NA,"CD_T80","HAW","Hawks","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141505",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",5,NA,82,11,16,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,72,10,12,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two.",10,"MOSTLY_SUNNY"
"Adelaide Crows Vs West Coast Eagles",2013-07-06 09:40:00,"CONCLUDED","CD_M20130141506","CD_V10","2013-07-06T09:40:00","CD_T10","CD_T150","CD_R201301415","2013-07-06T19:10:00","ADEL V WCE","#AFLCrowsEagles","Adelaide Crows",NA,"CD_T10","ADEL","Crows","West Coast Eagles",NA,"CD_T150","WCE","Eagles","Adelaide","AAMI Stadium","SA","Australia/Adelaide","CD_V10","AS",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141506",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,69,9,15,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,75,11,9,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","A few showers, easing.",10,"MOSTLY_CLEAR"
"Melbourne Vs Sydney Swans",2013-07-07 03:10:00,"CONCLUDED","CD_M20130141507","CD_V40","2013-07-07T03:10:00","CD_T90","CD_T160","CD_R201301415","2013-07-07T13:10:00","MELB V SYD","#AFLDeesSwans","Melbourne",NA,"CD_T90","MELB","Demons","Sydney Swans",NA,"CD_T160","SYD","Swans","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141507",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,85,13,7,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",3,NA,116,16,20,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two developing.",14,"OVERCAST"
"Fremantle Vs St Kilda",2013-07-07 05:20:00,"CONCLUDED","CD_M20130141508","CD_V70","2013-07-07T05:20:00","CD_T60","CD_T130","CD_R201301415","2013-07-07T13:20:00","FRE V STK","#AFLFreoSaints","Fremantle",NA,"CD_T60","FRE","Freo","St Kilda",NA,"CD_T130","STK","Saints","Perth","Domain Stadium","WA","Australia/Perth","CD_V70","DS",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141508",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,100,15,10,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,70,11,4,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Sunny.",14,"OVERCAST"
"Essendon Vs Port Adelaide",2013-07-07 06:40:00,"CONCLUDED","CD_M20130141509","CD_V190","2013-07-07T06:40:00","CD_T50","CD_T110","CD_R201301415","2013-07-07T16:40:00","ESS V PORT","#AFLDonsPower","Essendon",NA,"CD_T50","ESS","Bombers","Port Adelaide",NA,"CD_T110","PORT","Power","Melbourne","Marvel Stadium","VIC","Australia/Melbourne","CD_V190","MRVL",NA,NA,NA,NA,"Round 15","2013","CD_R201301415","Rd 15","CD_S2013014",15,"CONCLUDED","CD_M20130141509",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",2,NA,118,18,10,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",2,NA,88,12,16,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Shower or two developing.",13,"OVERCAST"
"Collingwood Vs Adelaide Crows",2013-07-12 09:50:00,"CONCLUDED","CD_M20130141601","CD_V40","2013-07-12T09:50:00","CD_T40","CD_T10","CD_R201301416","2013-07-12T19:50:00","COLL V ADEL","#AFLPiesCrows","Collingwood",NA,"CD_T40","COLL","Magpies","Adelaide Crows",NA,"CD_T10","ADEL","Crows","Melbourne","MCG","VIC","Australia/Melbourne","CD_V40","MCG",NA,NA,NA,NA,"Round 16","2013","CD_R201301416","Rd 16","CD_S2013014",16,"CONCLUDED","CD_M20130141601",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,111,17,9,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,84,12,12,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Partly cloudy.",14,"MOSTLY_CLEAR"
"Port Adelaide Vs Hawthorn",2013-07-13 03:45:00,"CONCLUDED","CD_M20130141602","CD_V10","2013-07-13T03:45:00","CD_T110","CD_T80","CD_R201301416","2013-07-13T13:15:00","PORT V HAW","#AFLPowerHawks","Port Adelaide",NA,"CD_T110","PORT","Power","Hawthorn",NA,"CD_T80","HAW","Hawks","Adelaide","AAMI Stadium","SA","Australia/Adelaide","CD_V10","AS",NA,NA,NA,NA,"Round 16","2013","CD_R201301416","Rd 16","CD_S2013014",16,"CONCLUDED","CD_M20130141602",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,79,12,7,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,124,19,10,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Rain at times.",18,"OVERCAST"
"Geelong Cats Vs Melbourne",2013-07-13 04:10:00,"CONCLUDED","CD_M20130141603","CD_V30","2013-07-13T04:10:00","CD_T70","CD_T90","CD_R201301416","2013-07-13T14:10:00","GEEL V MELB","#AFLCatsDees","Geelong Cats",NA,"CD_T70","GEEL","Cats","Melbourne",NA,"CD_T90","MELB","Demons","Geelong","GMHBA Stadium","VIC","Australia/Melbourne","CD_V30","GMHBA",NA,NA,NA,NA,"Round 16","2013","CD_R201301416","Rd 16","CD_S2013014",16,"CONCLUDED","CD_M20130141603",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",6,NA,98,13,20,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,30,4,6,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Rain developing.",15,"OVERCAST"
"Richmond Vs Gold Coast Suns",2013-07-13 06:40:00,"CONCLUDED","CD_M20130141604","CD_V181","2013-07-13T06:40:00","CD_T120","CD_T1000","CD_R201301416","2013-07-13T16:40:00","RICH V GCFC","#AFLTigersSuns","Richmond",NA,"CD_T120","RICH","Tigers","Gold Coast Suns",NA,"CD_T1000","GCFC","Suns","Cairns","Cazalys Stadium","QLD","Australia/Brisbane","CD_V181","CS",NA,NA,NA,NA,"Round 16","2013","CD_R201301416","Rd 16","CD_S2013014",16,"CONCLUDED","CD_M20130141604",NA,NA,NA,NA,NA,"1, 2, 3, 4, 22, 11, 29, 20, 3, 1, 4, 3, 4, 5, 5, 2, NA, NA, NA, NA",1,NA,53,6,17,NA,"1, 2, 3, 4, 9, 38, 38, 32, 1, 6, 6, 5, 3, 2, 2, 2, NA, NA, NA, NA",1,NA,44,6,8,NA,"1, 2, 3, 4, 1738, 1851, 1870, 1790, 1, 1, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA","Rain.",15,"RAIN"
